6,67.4,42.7,36.4,33.1,26.3,471.4,20.1,7.7,3998,4280.9
8.3,51.3,40.6,75.3,39.8,35,225,87.2,5.2,5480.5,4895.5
7.43,96.8,27.6,89.6,26,13.8,88.9,57.5,9.1,4376,3443.4
6.89,29.7,45.5,77.3,19.5,13.9,65,69,10.7,1499.8,1157
5.12,62.9,23.6,37.7,29.2,26.7,51.8,83.9,5.6,2113.5,1943.3
5.12,73,24.6,66.9,48.9,38.4,472.1,50.3,9.3,2316,1907.1
4.73,84.3,61.8,52.7,7,22.4,498,50.8,11.1,2547.2,2182.2
7.96,46.6,30.7,72.9,28.8,19.8,73.1,31.7,11.2,4392.4,3849.3
6.9,71.8,8.9,22.2,19.8,28.2,211.2,83.4,8.4,4023.8,3809.3
7.33,37.3,30.8,61.1,9.7,37.9,351.2,65.3,5.2,2219,1635.3
4.58,49.2,52.9,71.9,24.6,35.1,130.5,32.6,9.3,1405.3,1029.7
8.38,90.6,66,70.9,33.9,39.9,317.5,59.2,9.9,2028.6,1384.6
7.83,95.5,77.1,87.1,28.8,10.7,416.1,43,10,6906.3,5007.1
5.35,74.7,61,14.7,6.3,13.4,436.1,30.3,11.5,3811.3,2689.2
5.23,43.7,37.2,37.7,31.1,28.3,367.9,32.7,8.9,6204.1,6071.4
5.23,83.8,27.4,48.1,15.4,34.6,86.8,59.1,7.7,6092.5,4914.8
5.72,12.3,14.7,34.8,20.4,18.6,206.8,59.5,8,4069.1,3285.4
6.6,19.2,52.1,34.8,19,17.2,485.3,75.3,6.6,5240.1,4430.5
6.23,69.5,43.2,24.1,43.6,33.6,136.7,37.4,4.5,2156.5,1724.4
5.66,36.2,55.8,75,7.1,11.7,254.3,84.1,9.7,5130.4,3689.5
6.95,95.6,22.8,82.6,20.7,21.1,200.4,56.3,4.2,2634.3,2626.7
5.06,49.2,29.3,16.6,22.8,25.2,142.5,34.3,4.5,5992.4,5267.5
5.67,48.6,26.9,22.4,32.8,26.8,195.6,48.9,6.7,1502.3,1347.6
5.97,71,64.8,28.3,40.5,31.9,135.3,84.6,11.4,5638.8,5188.3
6.32,79.1,17.8,50.7,37.7,20.6,444.8,53.5,7.9,1599.6,1617.6
7.64,52.8,50.6,73.3,38.9,28.4,128.5,81.2,5.7,6287.1,6198.2
5.3,29.3,8.9,15.7,13.7,27.6,330.6,31.2,11.2,2825.2,2411.2
6.56,79.6,46.2,60.9,46,26.4,474,84,8.6,4926.4,5969
6.87,38.8,9.8,21.9,23.6,29.2,478.7,50.1,7,3925,3628.1
4.69,25.8,18.2,87.7,5.5,17.8,320.2,85.5,9.7,3197.8,2597.7
6.93,66.8,13.5,81.9,35.1,12.5,171.9,80.6,7.5,4872.7,3619.6
5.18,18.1,31,86,32.2,13.6,161.6,66.2,9.8,6685.1,5390.2
4.76,97.4,30.8,18.5,10.7,16.7,386.4,67.1,5.7,1247.6,986.9
8.3,66.9,67,49,48.2,25,491.3,34.8,5.2,6513.1,6089.8
8.36,98.7,21.9,23.2,30.3,35.2,84.9,62.2,7.7,4654.5,3439
7.73,40.5,11.5,58,26.1,31,405.3,58.5,6.6,5843.9,4811.6
5.72,97.4,50.3,28.6,22.9,33.7,105.3,43.4,8.8,3303.2,2558.8
4.89,23.1,56.6,71.7,14.4,20.5,184.2,55.4,10.3,3831.1,3307.8
7.24,13.7,27.1,61.5,47.9,22.1,305,85,11.2,6213.1,6221.5
6.26,13,50.2,55.7,36.6,21.8,183.8,20.4,10.1,3489.1,3271.7
4.99,51.8,63.2,76,30.5,15.8,342.6,49.2,6.7,4208,3275.4
6.48,17.5,31.1,50,33.4,11.8,237.7,43.4,9.8,1121.2,858.8
4.64,56.1,44.4,31.6,42.8,27.7,148.6,87.3,8.2,1951.6,1910.7
8.14,39.5,16,59.7,33.6,39.7,288.9,88.2,11.2,4850.1,3572.7
5.54,40.2,6.8,86.6,10.2,15,60.8,61,9.7,5301.9,3938.1
7.15,67.2,78.6,58.1,36.4,11.4,383.5,58.5,5.2,4495.6,3682.2
5.75,24.7,27.5,60.4,30.4,33.4,285,83.2,4.6,1859.9,1471.7
6.58,79,25.9,84.8,48.5,17.6,476,20.5,8.4,3672.4,3586.8
6.69,62.4,78,51.2,38,34.9,96.3,59.4,6.9,3130.6,2635.6
5.24,92.3,59.6,89.7,20.5,31.1,379.5,21.7,5.3,3974,3346.4
8.38,42.8,48.9,22.8,11.1,38.4,185.4,87.8,10.4,6222,4442.1
7.6,98.4,57.4,53,26.7,22.3,217.9,42.4,7,5655.2,5549.3
8.26,61.8,58.2,27,35.6,29.9,206.8,56.5,4.7,1503.9,1320.2
8.08,97.6,62.3,46.3,13,23.9,211.1,49.2,6.1,6341.9,6524
6.89,12.4,10,23.6,34.2,28.9,243.9,82.6,9.4,3830.6,4006.5
8.19,75.5,36,27.8,42.2,23.5,59.5,90,9.2,5463.2,5197.4
4.85,83.5,27.1,26.9,12.1,15.7,431,24.8,6.1,1840.2,1405.9
5.28,14.8,10.3,35.6,36.8,25.2,446.8,71.2,6.7,5024.3,5297.7
4.68,62.1,35.9,20.8,8.1,25.9,67.8,45.8,4.4,2418,2042.9
5.8,82.2,51.2,74.7,5.4,34.3,399.2,29.7,11.6,3630.3,2638.3
6.05,60.5,18.4,27.7,6.5,32.1,82.5,48.4,6.6,1101.2,1012.6
5.59,15.7,27.9,43.3,33.4,29.9,413.5,89.9,11.4,1909.7,1985.2
7.81,72.4,52.9,11.3,48.8,13.4,325.8,45,10.5,1552.5,1186.6
5.93,15.5,48.4,18.4,39.7,31.6,187.9,39.4,6.7,2438.5,2054.1
5.62,83.6,70.2,81.7,16.4,25,326.2,79.2,9.6,1600.1,1574.2
